Date/Heure;Utilisateur;Retrait;Dépôt;Encaissement;Crédit client;Ecart;Total;Commentaires
2026-04-30 20:01:25;Ange Ines;0.00;5000.00;0.00;0;0.00;0.00;Pâte d\\\'arachide j\\\'attends l\\\'argent Pauline
2026-04-30 10:52:56;Ange Ines;3000.00;0.00;0.00;0;0.00;0.00;Wifi Marcellin 
2026-04-30 10:49:55;Ange Ines;5000.00;0.00;0.00;0;0.00;0.00;Un Complet a vendre 
2026-04-30 10:49:14;Ange Ines;2500.00;0.00;0.00;0;0.00;0.00;Micro
2026-04-29 16:37:25;Ange Ines;0.00;0.00;5940.00;;60.00;13200.00;
2026-04-29 16:37:02;Ange Ines;6000.00;0.00;0.00;0;0.00;0.00;Gourde 
2026-04-26 20:42:33;Ange Ines;5000.00;0.00;0.00;0;0.00;0.00;Pâte d\'arachide j\'attends l\'argent Pauline 
2026-04-26 09:38:43;Ange Ines;0.00;0.00;7464.00;;-14.00;18200.00;
2026-04-25 09:12:18;Ange Ines;0.00;0.00;8250.00;;0.00;10750.00;
2026-04-23 19:21:49;Ange Ines;0.00;0.00;13490.00;;10.00;2500.00;
2026-04-23 12:51:16;Ange Ines;50000.00;0.00;0.00;0;0.00;0.00;Nouvelle marchandise 
2026-04-22 20:16:51;Ange Ines;0.00;0.00;23100.00;;-100.00;39000.00;
2026-04-22 20:01:21;Ange Ines;0.00;10000.00;0.00;0;0.00;0.00;Boubou rembourser 
2026-04-22 14:35:22;Ange Ines;5000.00;0.00;0.00;0;0.00;0.00;Salaire Avril 
2026-04-22 14:27:03;Ange Ines;0.00;0.00;5130.00;;-80.00;11000.00;
2026-04-22 14:26:23;Ange Ines;5000.00;0.00;0.00;0;0.00;0.00;Forfait internet 
2026-04-14 09:25:30;Ange Ines;0.00;0.00;11265.00;;85.00;10950.00;
2026-04-14 09:24:39;Ange Ines;10000.00;0.00;0.00;0;0.00;0.00;Boubou d\'un tonton a rembourser 
2026-04-10 06:51:15;Ange Ines;31000.00;0.00;0.00;0;0.00;0.00;Boubou caviar 
2026-04-09 23:36:09;Ange Ines;0.00;40600.00;0.00;0;0.00;0.00;Avant de passer pro
